rainfall11,rainfall13,tmax12,tmax11,tmin9,tmin11,tmean11,tmean12,rh4,rh3,rh5,rh6,wind_speed4,wind_speed3,wind_speed5,wind_speed6,cases1,cases2,cases3,cases4,cases5,cases6,cases7,cases8,target
0.21428571428571427,7.871428571428572,32.18571428571429,32.457142857142856,23.91111111111111,23.8,28.142857142857146,28.42857142857143,84.71428571428571,86.2857142857143,83.28571428571429,87.14285714285714,2.8571428571428568,1.5714285714285714,1.7142857142857142,2.142857142857143,29,43,36,60,67,46,50,67,52
0.5285714285714286,4.8,32.457142857142856,30.414285714285718,24.54285714285714,23.828571428571426,27.114285714285717,28.142857142857146,86.2857142857143,84.42857142857143,84.71428571428571,83.28571428571429,1.5714285714285714,1.4285714285714286,2.8571428571428568,1.7142857142857142,52,29,43,36,60,67,46,50,45
3.033333333333333,0.21428571428571427,30.414285714285718,29.61111111111111,23.7,23.91111111111111,26.788888888888888,27.114285714285717,84.42857142857143,84.42857142857143,86.2857142857143,84.71428571428571,1.4285714285714286,2.0,1.5714285714285714,2.8571428571428568,45,52,29,43,36,60,67,46,42
8.442857142857143,0.5285714285714286,29.61111111111111,31.82857142857143,23.62857142857143,24.54285714285714,28.185714285714287,26.788888888888888,84.42857142857143,86.42857142857143,84.42857142857143,86.2857142857143,2.0,2.0,1.4285714285714286,1.5714285714285714,42,45,52,29,43,36,60,67,46
10.614285714285714,3.033333333333333,31.82857142857143,30.47142857142857,24.285714285714285,23.7,27.114285714285717,28.185714285714287,86.42857142857143,81.57142857142857,84.42857142857143,84.42857142857143,2.0,2.0,2.0,1.4285714285714286,46,42,45,52,29,43,36,60,53
10.457142857142856,8.442857142857143,30.47142857142857,30.07142857142857,23.71428571428571,23.62857142857143,26.885714285714283,27.114285714285717,81.57142857142857,83.42857142857143,86.42857142857143,84.42857142857143,2.0,2.0,2.0,2.0,53,46,42,45,52,29,43,36,49
3.6285714285714286,10.614285714285714,30.07142857142857,32.428571428571416,24.114285714285717,24.285714285714285,28.37142857142857,26.885714285714283,83.42857142857143,80.42857142857143,81.57142857142857,86.42857142857143,2.0,2.0,2.0,2.0,49,53,46,42,45,52,29,43,52
1.6857142857142855,10.457142857142856,32.428571428571416,30.75714285714286,24.442857142857147,23.71428571428571,27.242857142857147,28.37142857142857,80.42857142857143,77.57142857142857,83.42857142857143,81.57142857142857,2.0,2.0,2.0,2.0,52,49,53,46,42,45,52,29,48
4.428571428571427,3.6285714285714286,30.75714285714286,30.585714285714282,24.542857142857148,24.114285714285717,27.357142857142854,27.242857142857147,77.57142857142857,81.0,80.42857142857143,83.42857142857143,2.0,2.142857142857143,2.0,2.0,48,52,49,53,46,42,45,52,57
3.2571428571428567,1.6857142857142855,30.585714285714282,31.242857142857147,23.685714285714287,24.442857142857147,27.842857142857145,27.357142857142854,81.0,82.42857142857143,77.57142857142857,80.42857142857143,2.142857142857143,2.0,2.0,2.0,57,48,52,49,53,46,42,45,43
